sample_id,video_path,label,crash_ego,weather,timing
TRAIN_0000,./train/TRAIN_0000.mp4,7,1.0,0,0
TRAIN_0001,./train/TRAIN_0001.mp4,7,1.0,0,0
TRAIN_0002,./train/TRAIN_0002.mp4,0,0.0,-1,-1
TRAIN_0003,./train/TRAIN_0003.mp4,0,0.0,-1,-1
TRAIN_0004,./train/TRAIN_0004.mp4,1,2.0,0,0
TRAIN_0005,./train/TRAIN_0005.mp4,0,0.0,-1,-1
TRAIN_0006,./train/TRAIN_0006.mp4,3,2.0,1,0
TRAIN_0007,./train/TRAIN_0007.mp4,7,1.0,0,0
TRAIN_0008,./train/TRAIN_0008.mp4,0,0.0,-1,-1
TRAIN_0009,./train/TRAIN_0009.mp4,3,2.0,1,0
TRAIN_0010,./train/TRAIN_0010.mp4,0,0.0,-1,-1
TRAIN_0011,./train/TRAIN_0011.mp4,1,2.0,0,0
TRAIN_0012,./train/TRAIN_0012.mp4,0,0.0,-1,-1
TRAIN_0013,./train/TRAIN_0013.mp4,0,0.0,-1,-1
TRAIN_0014,./train/TRAIN_0014.mp4,0,0.0,-1,-1
TRAIN_0015,./train/TRAIN_0015.mp4,1,2.0,0,0
TRAIN_0016,./train/TRAIN_0016.mp4,7,1.0,0,0
TRAIN_0017,./train/TRAIN_0017.mp4,1,2.0,0,0
TRAIN_0018,./train/TRAIN_0018.mp4,0,0.0,-1,-1
TRAIN_0019,./train/TRAIN_0019.mp4,0,0.0,-1,-1
TRAIN_0020,./train/TRAIN_0020.mp4,1,2.0,0,0
TRAIN_0021,./train/TRAIN_0021.mp4,7,1.0,0,0
TRAIN_0022,./train/TRAIN_0022.mp4,0,0.0,-1,-1
TRAIN_0023,./train/TRAIN_0023.mp4,4,2.0,1,1
TRAIN_0024,./train/TRAIN_0024.mp4,0,0.0,-1,-1
TRAIN_0025,./train/TRAIN_0025.mp4,0,0.0,-1,-1
TRAIN_0026,./train/TRAIN_0026.mp4,0,0.0,-1,-1
TRAIN_0027,./train/TRAIN_0027.mp4,0,0.0,-1,-1
TRAIN_0028,./train/TRAIN_0028.mp4,0,0.0,-1,-1
